# control input, output
1.159239393615827535e-02,1.574339886869056959e-02
1.592652916486828225e-03,1.010127379863406949e-02
-8.407247367148618436e-03,4.458078393606895208e-03
-1.840630693305380858e-02,-1.184365187622919528e-03
-2.840352588360378974e-02,-6.824236089205023593e-03
-3.839790450523537790e-02,-1.245971556798503889e-02
-4.838844336841414961e-02,-1.808898780183003374e-02
-5.837414342758008579e-02,-2.371024069610771362e-02
-6.835400612104777784e-02,-2.932166668792704142e-02
-7.832703347086529544e-02,-3.492146354774925548e-02
-8.829222818260759609e-02,-4.050783517797978961e-02
-9.824859374510867827e-02,-4.607899240815330200e-02
-1.081951345301083722e-01,-5.163315378632590824e-02
-1.181308558918178070e-01,-5.716854636629077613e-02
-1.280547642663796837e-01,-6.268340649023552980e-02
-1.379658672712272827e-01,-6.817598056646237414e-02
-1.478631738043185151e-01,-7.364452584179451144e-02
-1.577456941432486548e-01,-7.908731116829520458e-02
-1.676124400442183249e-01,-8.450261776392893609e-02
-1.774624248408605831e-01,-8.988873996679720701e-02
-1.872946635429031670e-01,-9.524398598258507209e-02
-1.971081729346698397e-01,-1.005666786248578387e-01
-2.069019716733997705e-01,-1.058551560478513259e-01
-2.166750803873796205e-01,-1.111077724714028547e-01
-2.264265217738831437e-01,-1.163228988976742484e-01
-2.361553206968969865e-01,-1.214989238193224103e-01
-2.458605042846370159e-01,-1.266342539187774729e-01
-2.555411020268312239e-01,-1.317273147582931070e-01
